"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)",VALUE ,"52W H 
","52W L 
","365 D % CHNG 
 25-Aug-2021","30 D % CHNG 
 26-Jul-2022"
ADANIPORTS,844,860.6,838.7,836.4,840,3.6,0.43,9490984,"8,04,81,64,612.32",924.65,651.95,15.05,9.52
APOLLOHOSP,"4,251.50","4,337.50","4,233.20","4,251.50","4,310.00",58.5,1.38,848217,"3,64,97,75,964.96","5,935.40","3,361.55",-10.78,0.93
ASIANPAINT,"3,331.00","3,409.75","3,331.00","3,343.25","3,399.00",55.75,1.67,1426459,"4,81,95,05,700.35","3,590.00","2,560.00",10.09,0.28
AXISBANK,733,753.55,733,728.7,751.5,22.8,3.13,9193270,"6,84,91,70,015.40",866.9,618.25,-3.15,0.55
BAJAJ-AUTO,"4,050.25","4,128.95","4,011.55","4,030.05","4,093.05",63,1.56,740581,"3,02,70,87,808.45","4,128.95","3,027.05",8.94,2.95
BAJAJFINSV,"16,390.00","17,000.00","16,370.00","16,086.40","16,958.75",872.35,5.42,766144,"12,89,55,36,610.56","19,325.00","10,727.20",-0.67,6.9
BAJFINANCE,"7,000.00","7,335.00","7,000.00","6,964.35","7,312.00",347.65,4.99,1731381,"12,51,72,95,960.46","8,050.00","5,220.00",-0.03,-3.4
BHARTIARTL,722,730.1,711.8,720.6,725.2,4.6,0.64,8894800,"6,42,29,35,080.00",781.8,584.26,21.08,6.29
BPCL,326.25,329.9,326.2,326.2,329,2.8,0.86,3169631,"1,04,07,16,642.54",503,293.35,-30.79,-1.24
BRITANNIA,"3,717.00","3,766.15","3,717.00","3,707.65","3,741.00",33.35,0.9,467342,"1,75,06,58,458.58","4,153.00","3,050.00",-5.93,-4.94
CIPLA,"1,018.50","1,042.20","1,016.10","1,017.30","1,038.35",21.05,2.07,1571042,"1,62,05,61,243.84","1,083.00",850,10.11,4.08
COALINDIA,231.8,235.5,230.85,230.6,234.6,4,1.73,12991363,"3,04,02,38,769.26",235.5,138.6,66.44,9.16
DIVISLAB,"3,585.00","3,631.60","3,581.05","3,582.45","3,613.00",30.55,0.85,502761,"1,81,78,88,251.41","5,425.10","3,365.55",-27.05,-6.5
DRREDDY,"4,214.00","4,261.60","4,192.65","4,210.15","4,232.55",22.4,0.53,471981,"1,99,30,95,526.23","5,077.00","3,654.00",-8.49,2.93
EICHERMOT,"3,321.80","3,397.60","3,317.00","3,291.60","3,360.00",68.4,2.08,1236651,"4,15,93,14,873.87","3,513.70","2,159.55",27.77,6.41
GRASIM,"1,670.20","1,692.00","1,670.20","1,664.05","1,675.00",10.95,0.66,826762,"1,38,93,07,400.04","1,929.80","1,276.60",14.11,5.79
HCLTECH,926.9,945.25,923.7,917.5,936.85,19.35,2.11,2998417,"2,80,93,96,792.32","1,377.75",877.35,-21.11,-3.26
